Nome,Preço,Link,Imagem
T-shirt EL PICO,"24,90 €",https://www.supermonas.pt/product/t-shirt-el-pico,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/bdb2f0f-145912-img_0234.jpeg
Calças RADIANTE,"32,90 €",https://www.supermonas.pt/product/calcas-radiante,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/237f404-145437-img_0211.jpeg
Camisa YO POR TÍ,"37,32 €",https://www.supermonas.pt/product/camisa-yo-por-ti,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/405e812-225503-bb707ceb-4527-421d-ab05-10c664bb4cef.jpeg
Body ESPERA,"14,90 €",https://www.supermonas.pt/product/body-espera,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/aa94ff1-144713-img_0207.jpeg
Body ENREDO,"19,90 €",https://www.supermonas.pt/product/body-enredo,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/00e4d49-143718-img_0210.jpeg
T-shirt UNA PASADA,"12,11 €",https://www.supermonas.pt/product/t-shirt-una-pasada,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/3300a0b-143137-img_0261.jpeg
Calças DIFICIL,"48,90 €",https://www.supermonas.pt/product/calcas-dificil-2,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/c0c5283-225601-bff4272a-ba8c-4ab8-85fc-616c598c0e0e.jpeg
Conjunto NADA ES ETERNO,"33,90 €",https://www.supermonas.pt/product/conjunto-nada-es-eterno,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/60b904e-142427-img_0272.jpeg
T-shirt PANDILLA,"17,90 €",https://www.supermonas.pt/product/t-shirt-pandilla,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/5125bf0-142127-img_0251.jpeg
T-shirt ME SIGUEN,"22,90 €",https://www.supermonas.pt/product/t-shirt-me-siguen,https://cdn.lojasonlinectt.pt/usercontent/supermonas/media/images/square/0d4361a-141842-img_0259.jpeg
